R1_EP_DR,-9.32,-5.09,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,-0.88,13.62,270.00,5K1,ERA-1AEB3401C_0201
R2,6.71,-6.75,90.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R2_EP_DR,-11.01,5.43,270.00,10K,CPF0201D7K68C1_0201
R2_USB,-4.28,13.92,270.00,5K1,ERA-1AEB3401C_0201
R3,-2.57,-2.10,89.80,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R4,6.36,-6.22,90.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R5,-11.38,-12.84,90.00,10k,CPF0201D7K68C1_0201
R7,6.31,-12.76,180.00,10k,CPF0201D7K68C1_0201
R8,-4.79,-12.86,0.00,10k,CPF0201D7K68C1_0201
R9,2.57,-5.31,90.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-9.53,-2.02,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-7.84,-5.13,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-9.05,-6.92,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,8.87,-14.83,180.10,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-2.37,-15.03,180.00,SW_ENT,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-13.35,-15.03,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1,19.25,-10.48,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,16.38,4.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP3,18.86,5.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP4,18.57,-13.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP5,9.15,11.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP6,13.71,-16.59,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-10.98,-10.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,16.90,-15.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,3.97,-16.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,1.49,-10.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-5.50,-4.53,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,0.95,-4.31,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,3.57,-13.75,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,4.81,-9.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,6.21,2.31,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-2.66,-11.41,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,11.56,4.25,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-7.62,0.27,180.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
